# mapping_set_id: https://github.com/edithlaszny/vvo/vvo-mappings-v2-004
# mapping_set_version: 2-004
# license: https://creativecommons.org/licenses/by/4.0/
# creator_id: orcid:0009-0005-6549-9839
# curie_map:
#   VVO: "http://purl.obolibrary.org/obo/VVO_"
#   PO: "http://purl.obolibrary.org/obo/PO_"
#   BTO: "http://purl.obolibrary.org/obo/BTO_"
#   PATO: "http://purl.obolibrary.org/obo/PATO_"
#   GO: "http://purl.obolibrary.org/obo/GO_"
#   NCBITAXON: "http://purl.bioontology.org/ontology/NCBITAXON/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	predicate_id	object_id	match_type	confidence
VVO:0003212	skos:exactMatch	NCBITAXON:29760	semapv:HumanCurated	0.95
VVO:0001162	skos:closeMatch	PO:0009011	semapv:HumanCurated	0.95
VVO:0000359	skos:exactMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0000359	skos:closeMatch	BTO:0000158	semapv:HumanCurated	0.95
VVO:0000359	skos:relatedMatch	UBERON:0001048	semapv:HumanCurated	0.95
VVO:0000762	skos:exactMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003282	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000685	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001487	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002858	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001251	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003235	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000592	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001835	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003001	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000042	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0003132	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0000810	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0001486	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0002415	skos:narrowMatch	PO:0000230	semapv:HumanCurated	0.95
VVO:0002415	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0000809	skos:narrowMatch	PO:0000230	semapv:HumanCurated	0.95
VVO:0000809	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0001484	skos:narrowMatch	PO:0000230	semapv:HumanCurated	0.95
VVO:0001484	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0001796	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0003133	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0002417	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0001886	skos:narrowMatch	PO:0004012	semapv:HumanCurated	0.95
VVO:0003066	skos:narrowMatch	PO:0004012	semapv:HumanCurated	0.95
VVO:0003111	skos:narrowMatch	PO:0004012	semapv:HumanCurated	0.95
VVO:0001619	skos:narrowMatch	PO:0004012	semapv:HumanCurated	0.95
VVO:0001935	skos:narrowMatch	PO:0004012	semapv:HumanCurated	0.95
VVO:0001837	skos:narrowMatch	PO:0004012	semapv:HumanCurated	0.95
VVO:0000093	skos:narrowMatch	PO:0004012	semapv:HumanCurated	0.95
VVO:0002241	skos:narrowMatch	PO:0000055	semapv:HumanCurated	0.95
VVO:0002260	skos:narrowMatch	PO:0000293	semapv:HumanCurated	0.95
VVO:0000124	skos:narrowMatch	PO:0000293	semapv:HumanCurated	0.95
VVO:0000188	skos:narrowMatch	PO:0000293	semapv:HumanCurated	0.95
VVO:0002254	skos:narrowMatch	PO:0000230	semapv:HumanCurated	0.95
